baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,rank_DESEQ
2961.25802,0.88984368,0.23177709,3.8392219,0.00012342,0.00234124,SULT1C4,182
321.20546,1.60610017,0.4186535,3.83634715,0.00012488,0.00236492,ASMTL,183
596.754251,1.17611178,0.30672174,3.83445855,0.00012584,0.00237543,TANK,184
3255.76884,0.61614705,0.16074843,3.83298945,0.0001266,0.00238579,RPL13A,185
1324.28699,0.85754538,0.22424883,3.82407964,0.00013126,0.00244986,IL10,186
1594.19691,0.82046343,0.21467108,3.82195611,0.0001324,0.00245494,PSG1,187
1229.76119,0.88703145,0.23209357,3.82187005,0.00013244,0.00245494,TMIGD1,188
754.862948,1.27846994,0.33453823,3.82159591,0.00013259,0.00245494,SLC23A3,189
4007.75154,0.54339732,0.14227019,3.81947421,0.00013374,0.00246045,CDC42,190
1284.94791,0.80175124,0.20997147,3.81838188,0.00013433,0.00246746,FBXL2,191
3612.80526,0.92438165,0.24255744,3.81098044,0.00013842,0.00253851,SEMA4G,192
998.665343,0.81015265,0.21289915,3.80533525,0.00014161,0.00258213,ARSJ,193
2881.13307,0.62720707,0.16488915,3.80381056,0.00014249,0.00259269,WAS,194
496.019167,1.41435312,0.37189297,3.80311872,0.00014289,0.00259587,DPH1,195
2136.02383,0.89859478,0.23644797,3.8003912,0.00014447,0.00260885,H2AC6,196
820.611189,1.35935617,0.35772976,3.79995272,0.00014472,0.00260885,ADH4,197
422.939435,1.24351635,0.32757455,3.7961324,0.00014697,0.00262895,ZNF830,198
543.793531,1.2562003,0.33194342,3.78438084,0.00015409,0.00272686,RNF11,199
1714.82973,1.21883898,0.32216019,3.78333209,0.00015474,0.0027301,PIEZO1,200
5198.56851,0.61825153,0.16344522,3.78262231,0.00015518,0.00273375,APTX,201
9575.07804,0.65641786,0.17372944,3.77839172,0.00015784,0.002768,ALKBH3,202
519.773272,1.21631001,0.32226475,3.77425711,0.00016049,0.00280583,LRRC71,203
1308.83235,0.9856753,0.26144659,3.77008278,0.00016319,0.00284889,IGSF10,204
3986.96663,0.61729453,0.16399698,3.76406023,0.00016718,0.00290532,H3C10,205
799.27306,1.31545991,0.35014004,3.75695368,0.00017199,0.00298012,MMP2,206
3484.39719,0.53581095,0.14267969,3.75534132,0.00017311,0.00299242,ZMYM3,207
1457.64967,1.06416492,0.28339021,3.75512243,0.00017326,0.00299242,CD1B,208
5047.81228,0.59145524,0.15755048,3.75406817,0.00017399,0.00299242,RIT2,209
5210.23701,0.80023887,0.2131712,3.75397273,0.00017405,0.00299242,GOSR2,210
635.825243,1.25217559,0.33358529,3.75368943,0.00017425,0.00299242,CDK2,211
2061.79286,1.08709809,0.29024716,3.74542197,0.00018009,0.00307452,HMHB1,212
1038.70138,0.91268716,0.24373756,3.7445487,0.00018072,0.0030807,TRPV2,213
6381.1331,0.52289878,0.13990243,3.7375962,0.00018579,0.00314863,YPEL4,214
1834.75337,0.66895403,0.17915236,3.7339952,0.00018847,0.00317548,CAMKMT,215
796.396508,1.01963677,0.2740276,3.7209272,0.00019849,0.00333473,SLC39A4,216
6064.48694,0.5709013,0.15351303,3.71891113,0.00020008,0.0033566,CPSF4,217
428.209644,1.2680906,0.34137264,3.71468144,0.00020346,0.00339851,RNF114,218
468.051933,1.24671301,0.33648746,3.70508018,0.00021132,0.00350967,DCLRE1B,219
1719.93523,0.73562293,0.19911306,3.69449868,0.00022032,0.00362795,PLA2G1B,220
1789.52108,0.93822537,0.25404096,3.69320515,0.00022145,0.00363615,HOXA6,221
3590.29218,0.96236099,0.26139757,3.6815988,0.00023178,0.00377872,EXOSC1,222
2212.05298,0.90118275,0.24482948,3.68085882,0.00023245,0.00377942,GPHB5,223
2045.4366,0.67810511,0.18427779,3.67979829,0.00023342,0.00378987,VRK2,224
657.710018,1.23119055,0.33552125,3.66948606,0.00024304,0.00393506,ADAM2,225
1887.871,0.67698612,0.18456555,3.66799829,0.00024446,0.00394701,HLF,226
1162.79458,0.81146738,0.22134162,3.66613108,0.00024625,0.0039649,UBE2D4,227
1199.64297,0.8243231,0.22490969,3.66512927,0.00024721,0.00397279,KCNJ12,228
5762.94767,0.53554996,0.14612895,3.66491348,0.00024742,0.00397279,NCR3,229
3014.9749,0.51383018,0.14045228,3.65839693,0.0002538,0.00404717,SPRR2B,230
6239.50037,1.00849629,0.27581259,3.65645484,0.00025573,0.00407235,NMS,231
214.337372,2.1530925,0.58976759,3.65074743,0.00026148,0.00414611,ENHO,232
293.420889,1.51002069,0.41365404,3.65044345,0.00026179,0.00414611,APEX2,233
3210.58745,0.76604139,0.20995641,3.64857339,0.0002637,0.00416075,SRP9,234
292.795243,1.91679175,0.52541624,3.64813953,0.00026415,0.00416075,RORA,235
6393.30189,0.39894509,0.10938327,3.64722212,0.00026509,0.00416701,PFDN5,236
3188.2903,0.55588861,0.15248478,3.645535,0.00026684,0.00418397,KLK2,237
13258.4981,0.54527164,0.14965623,3.64349434,0.00026896,0.00419954,KLK15,238
1615.30632,0.97134636,0.26663533,3.64297689,0.0002695,0.00419954,HOGA1,239
14822.095,0.49252181,0.13523151,3.64206396,0.00027046,0.00420882,IL18BP,240
2290.12121,0.98955852,0.27207492,3.63708096,0.00027575,0.00427387,HAAO,241
2366.31671,0.63955191,0.17590237,3.63583456,0.00027708,0.00428315,SWSAP1,242
3610.60989,0.78557188,0.2162293,3.63305001,0.00028009,0.00431673,TMEM205,243
2399.06205,1.74252301,0.48004861,3.62988866,0.00028354,0.00434255,OR10W1,244
1575.90109,0.69350601,0.19127292,3.62574073,0.00028813,0.0043897,STK25,245
8968.37118,0.61546002,0.16976934,3.62527197,0.00028866,0.00439191,PPP1R8,246
2470.41931,0.79391225,0.21965699,3.61432733,0.00030113,0.00455776,WDFY1,247
690.083238,1.18696652,0.32956747,3.6015888,0.00031628,0.00474404,LARS2,248
283.127605,1.5220897,0.42261796,3.60157366,0.0003163,0.00474404,WDTC1,249
1260.13165,0.85956315,0.23877201,3.59993257,0.0003183,0.00476792,RALB,250
2547.34595,0.61562837,0.17163545,3.58683682,0.00033471,0.00497556,CAPNS2,251
3219.20622,0.70297154,0.19601764,3.58626674,0.00033545,0.00497556,AKAP7,252
767.603844,2.13143712,0.59497129,3.58242011,0.00034043,0.0050344,SLC4A4,253
815.121114,1.07632698,0.30071512,3.57922466,0.00034462,0.0050834,CSRP1,254
2546.80218,0.58533979,0.16382031,3.57305988,0.00035283,0.00516321,ZCRB1,255
11273.7211,0.51847378,0.14514933,3.57200263,0.00035426,0.00516321,EDA,256
3353.12222,0.49241709,0.13787333,3.57151816,0.00035492,0.00516321,C11orf94,257
4938.94734,0.70596629,0.19772542,3.57043761,0.00035639,0.00517807,RASGEF1C,258
1473.5547,0.82303757,0.23059561,3.56918138,0.0003581,0.00519646,POU2F2,259
1277.11331,1.03916402,0.29118907,3.56869172,0.00035877,0.00519968,NELFE,260
12284.9587,0.35875778,0.10075554,3.56067538,0.0003699,0.00534769,COLQ,261
1389.97795,1.22392941,0.34524242,3.5451304,0.00039242,0.00559655,TMEM107,262
3123.41402,0.94385703,0.26627395,3.5446841,0.00039308,0.00559915,TRIM36,263
2755.86359,0.55754915,0.15735694,3.54321291,0.00039528,0.0056167,TIMM8B,264
2101.4688,0.96486958,0.27242156,3.54182532,0.00039737,0.00563943,EMP3,265
503.025188,1.83140881,0.51777452,3.53707788,0.00040458,0.00569997,CCNE1,266
894.097517,1.01662771,0.28797272,3.53029167,0.0004151,0.00579625,NFIC,267
8668.59751,0.93901439,0.26599895,3.53014317,0.00041533,0.00579625,NNAT,268
